BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
45209,CCn1c(nc2c(ncc(OCC[C@@H](N)Cc3ccccc3)c12)C#CC(C)(C)O)-c1nonc1N,3.0
45213,CCn1c(nc2c(ncc(OC[C@@H]3CCCNC3)c12)C#CC(C)(C)O)-c1nonc1N,3.0
45215,CCn1c(nc2c(ncc(OCCCNC[C@H](O)CO)c12)C#CC(C)(C)O)-c1nonc1N,3.0
282783,Cc1cccc(n1)-c1nc(n[nH]1)C1CCN(Cc2ccc(cc2)-c2nc3nccn3cc2-c2ccccc2F)CC1,3.0
326869,CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)[nH]1,3.0
292862,Clc1cccc2N(CCc12)C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
292873,Cc1cccc2N(CCc12)C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
326950,CC1Cc2c(cccc2Br)N1C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,3.0
329950,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(O)c(c2)C(F)(F)F)c1Cl,3.0
50152170,NC[C@H](Cc1ccccc1C(F)(F)F)NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12,3.0
50220466,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H]([C@@H]3CCCN3)c3ccc(Cl)cc3)c12,3.0
50220467,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)C)c3ccc(c(F)c3)C(F)(F)F)c12,3.0
50220476,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC3CC3)c3ccc(c(F)c3)C(F)(F)F)c12,3.0
50220482,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC3CCOCC3)c3ccc(Cl)cc3)c12,3.0
50220484,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c1ncnc2CC[C@@H](CF)c12)c1ccc(Cl)cc1,3.0
50220491,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c1ncnc2[C@H](O)C[C@@H](C)c12)c1ccc(Cl)c(F)c1,3.0
50417606,CN(C)CC(=O)N1CCN(CC1)c1ncc2cc(-c3ccccc3)c(nc2n1)-c1ccc(CN2CCC(CC2)c2nnc([nH]2)-c2ccccn2)cc1,3.0
286557,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(NC(=O)C2CC2)c1,3.09
603206,CNC(=O)c1cc(-c2cc[nH]n2)c2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,3.1
